url,main language,stars,owner,project,branch
https://github.com/torvalds/linux,C,171k,torvalds,linux,master
https://github.com/Genymobile/scrcpy,C,103k,Genymobile,scrcpy,master
https://github.com/netdata/netdata,C,68k,netdata,netdata,master
https://github.com/antirez/redis,C,65.1k,antirez,redis,unstable
https://github.com/ventoy/Ventoy,C,58.2k,ventoy,Ventoy,master
https://github.com/obsproject/obs-studio,C,56k,obsproject,obs-studio,master
https://github.com/git/git,C,50.3k,git,git,master
https://github.com/FFmpeg/FFmpeg,C,42.8k,FFmpeg,FFmpeg,master
https://github.com/php/php-src,C,37.4k,php,php-src,master
https://github.com/wg/wrk,C,36.9k,wg,wrk,master
https://github.com/curl/curl,C,34.4k,curl,curl,master
https://github.com/tmux/tmux,C,33.2k,tmux,tmux,master
https://github.com/Bilibili/ijkplayer,C,32.1k,Bilibili,ijkplayer,master
https://github.com/ggml-org/whisper.cpp,C,31.8k,ggml-org,whisper.cpp,master
https://github.com/jqlang/jq,C,29.2k,jqlang,jq,master
https://github.com/coolsnowwolf/lede,C,28.8k,coolsnowwolf,lede,master
https://github.com/pbatard/rufus,C,27k,pbatard,rufus,master
https://github.com/lizongying/my-tv,C,26.4k,lizongying,my-tv,main
https://github.com/mpv-player/mpv,C,26.2k,mpv-player,mpv,master
https://github.com/ggreer/the_silver_searcher,C,25.8k,ggreer,the_silver_searcher,master
https://github.com/pjreddie/darknet,C,25.4k,pjreddie,darknet,master
https://github.com/openssl/openssl,C,24.3k,openssl,openssl,master
https://github.com/libuv/libuv,C,23.4k,libuv,libuv,v1.x
https://github.com/taosdata/TDengine,C,22.9k,taosdata,TDengine,main
https://github.com/robertdavidgraham/masscan,C,22.7k,robertdavidgraham,masscan,master
https://github.com/facebook/zstd,C,22.5k,facebook,zstd,dev
https://github.com/valinet/ExplorerPatcher,C,22k,valinet,ExplorerPatcher,master
https://github.com/asmvik/yabai,C,21.8k,asmvik,yabai,master
https://github.com/arendst/Tasmota,C,21.4k,arendst,Tasmota,development
https://github.com/kingToolbox/WindTerm,C,20.8k,kingToolbox,WindTerm,master
https://github.com/microsoft/PowerToys,C#,105k,microsoft,PowerToys,main
https://github.com/2dust/v2rayN,C#,62k,2dust,v2rayN,master
https://github.com/shadowsocks/shadowsocks-windows,C#,58k,shadowsocks,shadowsocks-windows,main
https://github.com/PowerShell/PowerShell,C#,43.5k,PowerShell,PowerShell,master
https://github.com/dotnet/aspnetcore,C#,34.5k,dotnet,aspnetcore,main
https://github.com/files-community/Files,C#,32.2k,files-community,Files,main
https://github.com/jellyfin/jellyfin,C#,30.5k,jellyfin,jellyfin,master
https://github.com/ShareX/ShareX,C#,27.9k,ShareX,ShareX,develop
https://github.com/huiyadanli/RevokeMsgPatcher,C#,26.5k,huiyadanli,RevokeMsgPatcher,master
https://github.com/dnSpy/dnSpy,C#,25.6k,dnSpy,dnSpy,master
https://github.com/AvaloniaUI/Avalonia,C#,24k,AvaloniaUI,Avalonia,master
https://github.com/DevToys-app/DevToys,C#,23.7k,DevToys-app,DevToys,main
https://github.com/CodeHubApp/CodeHub,C#,22.9k,CodeHubApp,CodeHub,master
https://github.com/mxgmn/WaveFunctionCollapse,C#,22.8k,mxgmn,WaveFunctionCollapse,master
https://github.com/NickeManarin/ScreenToGif,C#,22.8k,NickeManarin,ScreenToGif,master
https://github.com/dotnet/maui,C#,21.6k,dotnet,maui,main
https://github.com/icsharpcode/ILSpy,C#,20.4k,icsharpcode,ILSpy,master
https://github.com/leiurayer/downkyi,C#,19.3k,leiurayer,downkyi,main
https://github.com/dotnet/roslyn,C#,18.6k,dotnet,roslyn,main
https://github.com/microsoft/semantic-kernel,C#,18.5k,microsoft,semantic-kernel,main
https://github.com/BeyondDimension/SteamTools,C#,18.4k,BeyondDimension,SteamTools,develop
https://github.com/DapperLib/Dapper,C#,17.2k,DapperLib,Dapper,main
https://github.com/Unity-Technologies/ml-agents,C#,16.4k,Unity-Technologies,ml-agents,develop
https://github.com/QL-Win/QuickLook,C#,16.3k,QL-Win,QuickLook,master
https://github.com/netchx/netch,C#,16k,netchx,netch,main
https://github.com/ppy/osu,C#,14.4k,ppy,osu,master
https://github.com/dotnet/runtime,C#,14.2k,dotnet,runtime,main
https://github.com/OpenRA/OpenRA,C#,14.8k,OpenRA,OpenRA,bleed
https://github.com/rocksdanister/lively,C#,14.2k,rocksdanister,lively,core-separation
https://github.com/nilaoda/N_m3u8DL-CLI,C#,14.5k,nilaoda,N_m3u8DL-CLI,master
https://github.com/tensorflow/tensorflow,C++,183k,tensorflow,tensorflow,master
https://github.com/facebook/react-native,C++,116k,facebook,react-native,main
https://github.com/electron/electron,C++,112k,electron,electron,main
https://github.com/microsoft/terminal,C++,93.7k,microsoft,terminal,main
https://github.com/godotengine/godot,C++,84.5k,godotengine,godot,master
https://github.com/bitcoin/bitcoin,C++,76.4k,bitcoin,bitcoin,master
https://github.com/opencv/opencv,C++,75.9k,opencv,opencv,4.x
https://github.com/swiftlang/swift,C++,66.1k,swiftlang,swift,main
https://github.com/nomic-ai/gpt4all,C++,65.1k,nomic-ai,gpt4all,main
https://github.com/protocolbuffers/protobuf,C++,63.8k,protocolbuffers,protobuf,main
https://github.com/tesseract-ocr/tesseract,C++,58.5k,tesseract-ocr,tesseract,main
https://github.com/ggml-org/llama.cpp,C++,58.3k,ggml-org,llama.cpp,master
https://github.com/ocornut/imgui,C++,56.3k,ocornut,imgui,master
https://github.com/topjohnwu/Magisk,C++,44.6k,topjohnwu,Magisk,master
